Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,16411.234846778534,14.935603457256319,2.3139324098368204,4.401972358077876,3.558612533262681,8.493870982651226,0.9373361275110856,0.92
2,15310.190741706047,14.248436788151682,2.3139324098368204,3.6940400404309806,3.558612533262681,7.7343036191879975,0.9373361275110856,0.76
3,14649.156411478869,14.053888880506426,1.6388154057124962,2.3434448158638874,2.5337382578900436,6.886148829707256,0.9373361275110856,0.72
4,15143.747083276885,14.439807289479994,1.6388154057124962,3.007112581022813,1.5141223823935896,7.539417058354843,0.9373361275110856,0.8
5,14485.876835774128,13.988308438471341,0.8872444813691296,1.0985510384252084,2.0231724582984945,7.09097230055146,0.0,0.65
6,15814.245971328497,14.752063675434023,2.937356116136302,4.401972358077876,2.0231724582984945,8.192082790175446,0.9373361275110856,0.9
7,15060.821161700394,14.376361542435212,1.6388154057124962,2.3434448158638874,3.0456052293163265,7.081220231760033,0.9373361275110856,0.75
8,14000.80660731481,13.856016808075141,0.8872444813691296,2.3434448158638874,3.0456052293163265,6.7885914016418285,0.0,0.68
9,13522.914453657768,13.92235303161463,0.0,1.0985510384252084,0.5019259703508436,6.886148829707256,0.0,0.5
10,15226.870324465894,14.312573058960607,1.6388154057124962,3.007112581022813,2.0231724582984945,7.471194154706239,0.0,0.45
11,15393.708191983747,14.183947556634108,1.6388154057124962,3.007112581022813,3.0456052293163265,7.276234884305301,0.9373361275110856,0.52
12,15561.333622313387,14.50291523251302,2.3139324098368204,3.6940400404309806,3.558612533262681,7.860951702976848,0.9373361275110856,0.84
13,15645.441319043075,14.565690189285181,2.3139324098368204,3.6940400404309806,3.558612533262681,7.958358441541412,0.9373361275110856,0.78
14,13920.658550302605,14.376361542435212,1.6388154057124962,3.6940400404309806,2.0231724582984945,6.886148829707256,0.9373361275110856,0.62
15,14242.446507503799,14.053888880506426,1.6388154057124962,3.007112581022813,1.006888973845948,7.081220231760033,0.9373361275110856,0.61
16,14485.876835774128,14.11910006440737,1.6388154057124962,3.007112581022813,1.5141223823935896,7.178734564707009,0.0,0.54
17,14731.093562132426,14.248436788151682,1.6388154057124962,3.6940400404309806,2.0231724582984945,7.568653431284718,0.0,0.66
18,14895.561854392094,14.183947556634108,1.6388154057124962,3.6940400404309806,2.0231724582984945,6.886148829707256,0.9373361275110856,0.65
19,14813.228758556166,14.439807289479994,1.6388154057124962,3.6940400404309806,2.0231724582984945,7.666099346339623,0.0,0.63
20,13602.06326852494,13.92235303161463,1.6388154057124962,3.007112581022813,2.0231724582984945,7.373721359366441,0.0,0.62
21,14323.39121380273,14.248436788151682,1.6388154057124962,2.3434448158638874,1.006888973845948,6.7885914016418285,0.9373361275110856,0.64
22,15393.708191983747,14.69025986354551,2.3139324098368204,2.3434448158638874,1.006888973845948,7.276234884305301,0.0,0.7
23,15645.441319043075,14.813552696475751,2.937356116136302,5.129104824715043,4.072635043113791,8.347859111661252,0.9373361275110856,0.94
24,16154.20840026777,14.99617350855325,2.937356116136302,5.129104824715043,3.558612533262681,8.54253556959983,0.9373361275110856,0.95
25,16325.363960771445,14.99617350855325,2.937356116136302,3.6940400404309806,2.5337382578900436,8.639855782806489,0.9373361275110856,0.97
26,16670.018294630307,15.05644539775728,2.937356116136302,4.401972358077876,3.558612533262681,8.445203387941703,0.9373361275110856,0.94
27,15143.747083276885,14.376361542435212,2.937356116136302,4.401972358077876,2.5337382578900436,7.666099346339623,0.0,0.76
28,13208.323877737872,13.654662430863532,0.8872444813691296,0.5269062403568218,1.5141223823935896,6.398212436763637,0.9373361275110856,0.44
29,12974.49026788688,13.310863161743708,0.0,1.0985510384252084,1.006888973845948,6.105265855243851,0.0,0.46
30,14161.700737260937,13.722177746368077,0.8872444813691296,0.5269062403568218,1.006888973845948,6.202930600531899,0.0,0.54
31,13365.217916010743,13.586741332414839,0.8872444813691296,2.3434448158638874,2.0231724582984945,6.983691712510327,0.9373361275110856,0.65
